序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
34,0,250341609264,一级评论,3546645471955740,都尉杂谈,3,男,7:56,2024-12-22 01:13:44,0,1,@我既可总结视频,河北,否,https://i0.hdslb.com/bfs/face/4d594cae452111159ccb5a3cdd343ef5727c5748.jpg
35,0,250338782160,一级评论,434564542,花生炒肉,5,男,马斯克明显是耗材啊，专门干得罪人的活。,2024-12-22 00:14:19,0,0,跳出三贷之外，不在五险之中。,黑龙江,否,https://i1.hdslb.com/bfs/face/0d8c78c84b51124f52a475812b361be83d531b04.jpg
36,0,250338438112,一级评论,93454547,史上最有心眼的派大星,6,保密,中国足协！阿朵呀！！,2024-12-22 00:02:15,0,0,,河南,是,https://i2.hdslb.com/bfs/face/690b9b766f41b8e5bd9dc098b6e71ef7643cd8c1.jpg
37,0,249857234817,一级评论,307461067,junyu__123,6,保密,破坏后必有反噬,2024-12-21 19:38:10,0,1,qq 2548265788，唯一的联系方式,江西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,249856044225,一级评论,1267400869,韶华倾负何在,5,保密,回复 @龙之TTT羽翼 :首先，中国辅警无论是工资福利都是不能和美比的，同样一个人供养力度就不一样。你不能一边说辅警工资低又说自己供养力度大吧😄其次中国现在还有五亿纯农民，3亿农民工，20岁以下三亿人，剩下三亿人除去私企在职员工，个体工商户还剩多少，自己去查？最后md一边说几千人考一个公务员岗位公务员招的少，一边又说公务员人数多。果然时代变了，什么东西都能说话了,2024-12-21 18:52:17,2,0,,江苏,是,https://i1.hdslb.com/bfs/face/2a433e7cfb27eacb5bf2bfde7a4f9b502f6bac4e.webp
39,249856044225,250356127280,二级评论,506835543,龙之TTT羽翼,5,保密,还有一个可怕的现实就是用了那么多外包工，那么多辅助岗位，但是养老金和财政供养的工资仍然各个地方负担不起，足以见得真正供养的人，吃的资源远超你想象,2024-12-22 04:38:18,0,0,,河南,否,https://i0.hdslb.com/bfs/face/bf50fc7f0635b5ce2bed25b3d13d1a669d99dc4c.jpg
40,249856044225,250356264560,二级评论,506835543,龙之TTT羽翼,5,保密,多抽奖吧，要么你真的天真一点，要么你真的现实一点，别傻不拉几的,2024-12-22 04:39:21,0,0,,河南,否,https://i0.hdslb.com/bfs/face/bf50fc7f0635b5ce2bed25b3d13d1a669d99dc4c.jpg
41,0,249855985009,一级评论,13970277,一只小鹿鹿鹿鹿鹿,6,保密,天天喊赢了赢了，所以说赢的究竟是谁[大哭],2024-12-21 18:49:16,0,0,目前在自学UE5、Blender、ZBrush、SP、MD，才开始学几天，请多指教!   → 现在不学了!无牵无挂之后做一个无敌侠士(...,湖南,否,https://i0.hdslb.com/bfs/face/40c9e58a4cd5037f277f65960fcc955396feb18a.jpg
42,0,249855925905,一级评论,2052496473,我儿拉黑我,5,保密,给川皇二十年说不定美国真的能回到冷战巅峰的地位,2024-12-21 18:44:17,2,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
43,249855925905,250332560160,二级评论,1839115711,WEAIC_,5,男,有点幻想了 二十年不够 况且他只有四年,2024-12-21 18:44:58,0,1,,河北,否,https://i1.hdslb.com/bfs/face/1b99816763c383875efcd1685c024413e072acd2.jpg
44,250332560160,249856242657,二级评论,2052496473,我儿拉黑我,5,保密,回复 @WEAIC_ :20年完全够了，而且我知道他只有四年,2024-12-21 18:55:36,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
45,0,250330651600,一级评论,767622,Mosica,6,男,哪里能买到,2024-12-21 17:56:41,0,0,个性签名,广东,否,https://i0.hdslb.com/bfs/face/ff4be8bddd62ff73fc147cde58353f7d77eeb664.jpg
46,0,250328451792,一级评论,3546684648852015,bili_93154365791,3,保密,美国连变性自由都快没有了吗？,2024-12-21 17:17:23,0,0,,上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
47,0,249851292881,一级评论,94930153,ZVMAGL3,6,男,有一个不是很懂，总统能管到洲级及以下的官员么？,2024-12-21 17:01:59,0,0,经过选择的例子对于任何有价值的概括来说从来就不是重要的的证据。——《自私的基因》,浙江,否,https://i1.hdslb.com/bfs/face/c4ba71b2e233e51bacafdef0f49838d50c9fd818.jpg
48,0,250327147312,一级评论,13097746,RobotRock,6,男,说真的，玩b站这么久，很少能看到质量这么高的视频，这是我第一次充电，50块钱，虽然不多，但是也没充。,2024-12-21 16:55:13,0,1,......,重庆,是,https://i1.hdslb.com/bfs/face/cd88b3e9e252d302033c8e2fccb900f14dcdff5f.jpg
49,0,249848845409,一级评论,221783257,难得自甲,5,保密,一群人是没考过公还是压根接触不到考公？连公务员，事业编，国企都分不清嘛？,2024-12-21 16:27:14,7,30,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
50,249848845409,249852553489,二级评论,433587585,你是不会想到会是我的,6,保密,"你猜他们为什么不回你
只需要一棍打死就行了",2024-12-21 17:26:07,0,0,,浙江,是,https://i0.hdslb.com/bfs/face/1496caccaea826e53d1562e6b3d839cc9b5182f2.jpg
51,249848845409,250349035248,二级评论,142739818,者亦啧,5,保密,"区别很大吗？
不都是难进入，进入了就稳定
就受到法律保护
大家追求的不就这点？",2024-12-22 03:14:34,0,2,,浙江,否,http://i1.hdslb.com/bfs/face/af16a5c0260a6d559d3322760779ed0691d89f86.jpg
52,250349035248,249872527489,二级评论,221783257,难得自甲,5,保密,回复 @者亦啧 :认知符合我对你们这些不懂装懂还要评头论足的人的印象[偷笑],2024-12-22 03:26:24,0,11,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
53,249872527489,250351896304,二级评论,24602949,醉眼冲浪,6,男,回复 @难得自甲 :哇喔[星星眼],2024-12-22 03:50:54,0,0,b站真棒，我爱b站,广东,否,http://i0.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg
54,250349035248,250359505760,二级评论,597952340,枸杞好茗,5,保密,回复 @者亦啧 :稳定？稳定个屁啊，一点小事（比如脚臭）都能找理由把你开了。[笑哭],2024-12-22 05:18:12,0,0,没救了，NBA、奢侈品、V4火箭发射车,陕西,否,https://i2.hdslb.com/bfs/face/9b4ded5f1727350ab441ad4b734fa9948b6ed7e9.jpg
55,249848845409,249883502177,二级评论,1969908887,今天不是很,4,保密,不考公，不接触考公的人多了去了，人家分不清多正常，这有啥值得疑问的？别人知道的东西，我们也有不知道的啊，术业有专攻，你一个接触考公的，学历不会太低，没想到你这点道理都不懂,2024-12-22 05:42:49,0,0,,新疆,是,https://i2.hdslb.com/bfs/face/75ef4377e99b29b4d685e48157fd1849f4256b6b.jpg
56,249883502177,249890071969,二级评论,221783257,难得自甲,5,保密,回复 @今天不是很 :分不清就不要随便评头论足侃侃而谈，不懂装懂，不懂也要阴阳怪气两句是显得某些人很有本事是吧[偷笑],2024-12-22 07:17:19,0,0,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
57,0,250323884144,一级评论,1945444325,东岳庙,5,保密,商人想要凌驾于法律之上的权利,2024-12-21 16:12:16,0,1,,湖南,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
58,0,250323921696,一级评论,261532723,一懂就结束,6,保密,估计特朗普还会被刺杀,2024-12-21 16:11:04,0,0,,河南,否,https://i1.hdslb.com/bfs/face/cced80caa16d0bfc00b4e0d06a3f2b5d41471b84.jpg
59,0,250322073344,一级评论,1973506213,黄浦江西边的小市民,5,保密,"如果真能下岗美国公务员
未尝不是一场教学",2024-12-21 15:51:11,0,0,,上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
60,0,250321725840,一级评论,486852337,bili_42877536836,6,保密,保留少量决策者，普通岗位通通外包？,2024-12-21 15:47:06,0,0,,江西,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
61,0,249844455441,一级评论,627782687,supersoar,5,保密,国内公职人员早就超过10%了好嘛？所谓公职不只是公务员，还包括事业单位，国企，央企，各级行政机构，各级职能部门，铁路道路及绿化，航空航天，各种垄断行业，银行，证券，媒体(广播，电视，报纸)，电信通讯，金融。等等，还有最近债务问题的城建体系。 总之，只有你想不到的。而很多部门，美国都没有，或者说不是国有的。,2024-12-21 15:31:07,29,30,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
62,249844455441,250322697792,二级评论,234552621,有点板扎噶,6,男,公职人员只看一点，薪酬来源 只有国家财政保障的才算公职人员，这里包括了教师和军队 你把中国的国企说是垄断企业，纳入公职人员，却说美国的能源粮食垄断集团不算？这么双标？你咋不把自媒体和保险推销算上,2024-12-21 15:57:59,0,20,,云南,是,https://i0.hdslb.com/bfs/face/7202ff5b72d33b45dd5dd5597e5ef77f8dcb6d23.jpg
63,249844455441,249846907601,二级评论,627782687,supersoar,5,保密,石油，采矿，林业(部分农业，比如新疆生产建设兵团)，出租(营运体系)，公交，地铁，汽车站汽车线路，航运(江河湖海)，景区。街道，居委，村委，环卫，电力，供水，燃气。,2024-12-21 16:00:20,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
64,250322697792,249846854241,二级评论,627782687,supersoar,5,保密,回复 @AchanJin : 石油，采矿，林业(部分农业，比如新疆生产建设兵团)，出租(营运体系)，公交，地铁，汽车站汽车线路，航运(江河湖海)，景区。街道，居委，村委，环卫，电力，供水，燃气。,2024-12-21 16:01:25,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
65,249844455441,249847258177,二级评论,14794666,努力毕业冲冲冲,6,保密,公交地铁国企也算吗🤔，美国不算这些吧,2024-12-21 16:05:29,0,1,,广东,是,https://i1.hdslb.com/bfs/face/2cc034a596ee053448686567cbd7d0341f102a53.jpg
66,249847258177,249847858801,二级评论,627782687,supersoar,5,保密,回复 @努力毕业冲冲冲 : 所以美国说的是公务员，而不是公职人员啊。而我说的是公职人员的比例其实很高。,2024-12-21 16:13:09,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
67,249847858801,249848354193,二级评论,14592897,月华半殇,6,男,回复 @supersoar :但是好多没财政补贴是自负盈亏的 其实问题不大不是国家在养  国家出钱养的人比例没那么高,2024-12-21 16:20:02,0,2,,浙江,否,http://i0.hdslb.com/bfs/face/a88ce40788688448c53fd0bfa8f99e00d4b96227.jpg
68,249847858801,249848726833,二级评论,14592897,月华半殇,6,男,回复 @supersoar :不过有财政养的也有8000万了    也非常多了,2024-12-21 16:22:38,0,0,,浙江,否,http://i0.hdslb.com/bfs/face/a88ce40788688448c53fd0bfa8f99e00d4b96227.jpg
69,249848726833,249848855409,二级评论,627782687,supersoar,5,保密,回复 @月华半殇 :虽然是自负盈亏但高利润啊。比如医疗系统。最近两年不是开始查贪污了，爆出来的可不是一点半点。,2024-12-21 16:27:38,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
70,249848855409,249849237441,二级评论,296981251,niquqiouba,5,保密,回复 @supersoar :跟美国比医疗腐败是小巫见大巫,2024-12-21 16:30:49,0,1,,上海,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
71,249848855409,249849239009,二级评论,14592897,月华半殇,6,男,回复 @supersoar :确实也很离谱。。但是和美国医保那个比小巫见大巫了,2024-12-21 16:30:53,0,1,,浙江,否,http://i0.hdslb.com/bfs/face/a88ce40788688448c53fd0bfa8f99e00d4b96227.jpg
72,250322697792,250327076752,二级评论,10294025,回复点有用的行吗,6,保密,回复 @AchanJin :你可拉倒吧[喜极而泣]品客又在这装外宾了,2024-12-21 16:55:10,0,1,不是我不叫醒你，而是回复你的被删了。不过既然你急了，那你就不值得被叫醒,山东,否,https://i2.hdslb.com/bfs/face/f99f5893178acf6f0a04434fa336317c834f6dfa.jpg
73,249844455441,249851772337,二级评论,252921095,nonononok,6,男,以公有制经济为主体，多种所有制经济共同发展，以按劳分配为主体（主要是国企、其次事业、最后是公务员），多种分配方式并存。,2024-12-21 17:10:44,0,1,,浙江,否,https://i2.hdslb.com/bfs/baselabs/40f872c619ce409d4e4a1e397e1d0ebe7dd86408.png
74,249844455441,250331679376,二级评论,15717324,灵冥子,6,男,神他妈国企算公职人员，我在国企干了两年了从来不知道我算公职人员。你知道国家有多少100∽200人左右的小型国企制造厂吗？这些可都是严格意义上的国有企业，不是照样工资低的可怜，这两年效益不好不是照样发不出工资。国企是企业以盈利为目的，国有只是其所有权不是私人，我们的工资都是企业自己接单子生产产品挣得，青黄不接的时候照样要和银行贷款，还不上钱一样要破产清算。,2024-12-21 18:27:11,0,7,,陕西,是,http://i0.hdslb.com/bfs/face/8cc6b57fe12da240763c318a20d79510c939b975.jpg
75,250327076752,249856230833,二级评论,1267400869,韶华倾负何在,5,保密,回复 @回复点有用的行吗 :首先，中国辅警无论是工资福利都是不能和美比的，同样一个人供养力度就不一样。你不能一边说辅警工资低又说自己供养力度大吧😄其次中国现在还有五亿纯农民，3亿农民工，20岁以下三亿人，剩下三亿人除去私企在职员工，个体工商户还剩多少，自己去查？最后md一边说几千人考一个公务员岗位公务员招的少，一边又说公务员人数多。果然时代变了，什么东西都能说话了,2024-12-21 18:57:13,0,4,,江苏,是,https://i1.hdslb.com/bfs/face/2a433e7cfb27eacb5bf2bfde7a4f9b502f6bac4e.webp
76,250334682960,249858194241,二级评论,627782687,supersoar,5,保密,回复 @青铜时代丿 :这位品客，你一个月拿几个钱，不会别的倒是学会了舔。,2024-12-21 20:27:43,0,2,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
77,250331679376,249858209969,二级评论,627782687,supersoar,5,保密,回复 @灵冥子 :这位品客，你一个月拿几个钱，在给谁打掩护，在帮谁说话，保护谁的利益？不会别的，倒是学会了舔。舔得好，舔得妙，舔得呱呱叫。,2024-12-21 20:29:41,0,1,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
78,249844455441,250338844624,二级评论,132752836,不想起床的小黄鸭,6,男,要说国企那可海了去了，不过绝大部分国企都是自负盈亏而且要比私企交更多的税，员工那更没法享受什么公职人员待遇。,2024-12-22 00:10:49,0,1,"就算看不见未来，但改变未来的权力，却是人人平等的
                                      ——卡彭·贝基",广东,是,https://i1.hdslb.com/bfs/face/4d920269832776bf46e75893adf44ebd6838828d.jpg
79,249848855409,249864552785,二级评论,4536984,wingspiker,6,保密,回复 @supersoar :你说啥呢？？医疗是公立 不是公职人员 你搞清楚定义？？,2024-12-22 01:16:38,0,0,,北京,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
80,249858209969,249864976833,二级评论,221783257,难得自甲,5,保密,回复 @supersoar :只有岛上的🐸蠢而不自知的呱呱叫，你是不是生活中太可怜了，老是问别人多少钱一个月，你是不是九年义务教育都没有啊[偷笑][偷笑][偷笑],2024-12-22 01:22:12,0,0,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
81,249864976833,250342061632,二级评论,382759441,塔克隊龍五郎,5,男,回复 @难得自甲 :@啥软 签名😂,2024-12-22 01:25:29,0,0,看什么看，什么都没写,江苏,否,https://i1.hdslb.com/bfs/face/ea938f80eab35731530fa5fb0d27d3f383a60710.jpg
82,249864552785,249865229249,二级评论,221783257,难得自甲,5,保密,回复 @wingspiker :别问，问就是国企里的保洁阿姨也是公职人员[微笑],2024-12-22 01:28:13,0,0,"河喃IP小丑别注销账号啊，你怕啥哈哈哈
只会意淫的可怜小丑，多补补脑子哈哈哈哈
",江西,否,https://i1.hdslb.com/bfs/face/59daf9c32f9efa52357005045a2ae369bde9c1a2.jpg
83,250327076752,249865800193,二级评论,411455555,产业升级才是国家希望,5,保密,回复 @回复点有用的行吗 :尽快进我收藏夹两百个视频一个疗程进行治疗,2024-12-22 01:39:46,0,0,给西方祛魅，让公知下跪；  跟反賊对线，劝殖人走线。  熟读恭殖文，助巨婴开智；  懂对症良药，为往左治病。,江苏,否,https://i2.hdslb.com/bfs/face/07dabd26b933dd63016636fae5d3fdf6ffb59951.jpg
84,249858209969,249865909809,二级评论,411455555,产业升级才是国家希望,5,保密,回复 @supersoar :尽快进我收藏夹两百个视频一个疗程进行治疗,2024-12-22 01:40:48,0,0,给西方祛魅，让公知下跪；  跟反賊对线，劝殖人走线。  熟读恭殖文，助巨婴开智；  懂对症良药，为往左治病。,江苏,否,https://i2.hdslb.com/bfs/face/07dabd26b933dd63016636fae5d3fdf6ffb59951.jpg
85,250352921056,249882704177,二级评论,627782687,supersoar,5,保密,回复 @不再随便说说而已 :这位品客，你一个月拿几个钱，在给谁打掩护，在帮谁说话，保护谁的利益？不会别的，倒是学会了舔。舔得好，舔得妙，舔得呱呱叫。,2024-12-22 05:31:31,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
86,249864976833,249882708449,二级评论,627782687,supersoar,5,保密,回复 @难得自甲 :这位品客，你一个月拿几个钱，在给谁打掩护，在帮谁说话，保护谁的利益？不会别的，倒是学会了舔。舔得好，舔得妙，舔得呱呱叫。,2024-12-22 05:31:40,0,0,Every Breath You Take...,江苏,否,https://i2.hdslb.com/bfs/face/88615d5fa48740c7f32f1dfc64db2b73309fb113.jpg
87,250322697792,250361775904,二级评论,14117528,鸡肉味嘎嘣脆的锅巴,6,保密,回复 @AchanJin :他只说有的中国有，有的美国没有。他也没具体说中国有的是哪个，美国没有的是哪个。你的这些理解又是从哪来的,2024-12-22 05:45:17,0,0,。,辽宁,是,https://i2.hdslb.com/bfs/face/c73d7020434ebf3e03f71791eecc106a91152d38.jpg
