序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
21,0,246768314785,一级评论,452013482,多姿多彩ivi,6,男,特朗普上台，那么离完蛋不远了[打call],2024-11-14 07:13:53,0,0,知其然知其所以然,广东,是,https://i2.hdslb.com/bfs/face/f16ba695d19e36f73bfb72a992db8c135a71cff2.jpg
22,0,246766313137,一级评论,256744854,奶茶大官人,6,男,又要不要饭了，兄弟们,2024-11-14 06:39:29,0,0,,甘肃,是,https://i0.hdslb.com/bfs/face/207b65e737cc3c1b270fb46ac2a55f65d35e364e.jpg
23,0,247052098416,一级评论,96008539,泼墨惹江山,6,女,最后一个好消息,2024-11-13 18:01:04,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/ab426c6932167235785d222524800d8f9920bb9d.jpg
24,0,246681124433,一级评论,517626781,-废铁侠-,4,保密,羊蛮,2024-11-13 05:14:23,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/3d94a07edeb97a09319a3281bbd106307e0c9348.jpg
25,0,246640556097,一级评论,9074456,迷茫的道,5,保密,懂王上台利大于弊,2024-11-12 14:14:00,0,0,,四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
26,0,246897382768,一级评论,198610608,安娜希德,6,保密,涨了工资，一定给三连,2024-11-12 00:43:53,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/d120ba73ec16e9bdb21516da8a999e1899338aa6.jpg
27,0,246884187808,一级评论,113588512,教声乐的查理老师,6,男,涨工资不涨物价才是真正的涨工资,2024-11-11 16:20:31,0,3,声乐老师，嗓音教练，乐评人。声乐学习/业务洽谈: starlitip ,浙江,是,https://i1.hdslb.com/bfs/face/de15cbca5dca39b3a7b2294a147806bbb0875e9d.jpg
28,0,246572798177,一级评论,1236594983,南邮艺术王,3,保密,四年后来还愿,2024-11-11 15:56:26,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,246865399920,一级评论,1966980635,新一年级8班,5,男,涨工资，自由职业者多缴10多万养老金,2024-11-11 12:27:46,0,0,,江苏,否,https://i2.hdslb.com/bfs/face/7f7b55df04b9f749865a0d3011a4dd5dffb7d92a.jpg
30,0,246555874289,一级评论,306779956,昊天之龙,5,保密,将会有更多人失业！,2024-11-11 12:20:53,0,0,,广西,否,http://i1.hdslb.com/bfs/face/dd940c81e03d2e10b08e20248a002ede54d58a11.jpg
31,0,246862160224,一级评论,398994912,冰封飞猪,6,保密,我已看到了未来[原神_哼],2024-11-11 11:45:18,0,1,为世界上所有的美好而战,广东,否,http://i0.hdslb.com/bfs/face/b9d0f04bc1a1ed5e5cd5736fcb0de818a88ede3f.jpg
32,0,246544180273,一级评论,22865466,捡石头仙人,6,保密,工资水平上涨，但是没工作[笑哭],2024-11-11 09:52:13,0,0,,广西,是,https://i0.hdslb.com/bfs/face/c9a70d4f81e140a994b93a54a5e2468fb7cb848c.jpg
33,0,246846759104,一级评论,316388004,凡人的智慧-,4,男,共和党在这几十年中投票人数一直没有民主党多，被压了几十年，而这次攻守之势异也，我认为用矛盾论的说法是，美国的主要矛盾变了，以前是阶级之间不公平，所以代表左派的比较注重公平的民主党占优势，现在的主要矛盾是效率，美国人的蛋糕越来越小了，川普一直提倡做大美国的蛋糕，赢是必然的。,2024-11-11 08:26:17,0,0,,河南,是,https://i0.hdslb.com/bfs/face/08bc84e930af5e00fd5082229611d292ed71670f.jpg
34,0,246527407105,一级评论,3546657060816986,柑椒桔梨欏柚,3,保密,[doge]别人慌不慌我不知道，反正球长是最慌的，能被卡德罗夫抓去当男宠都算好下场了,2024-11-11 05:02:26,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
35,0,246832780304,一级评论,39214,阿莫西林人参,6,保密,我觉得他这两年会先把政敌干掉,2024-11-11 04:37:14,0,0,天上天下，唯我独尊,广东,是,https://i1.hdslb.com/bfs/face/efb2d8e14880bbf1a39790864a87f2c4b0921223.jpg
36,0,246825619600,一级评论,490428848,费城答案3,5,保密,消费持续降级，老百姓苦日子难熬啊,2024-11-11 02:52:10,0,0,,安徽,否,http://i2.hdslb.com/bfs/face/0ee40c60b971dd54c371320a91ffb30156d9da4b.jpg
37,0,246824720672,一级评论,385291243,Bobby3030,5,保密,这么说还得感谢特大爷啊？工资涨了,2024-11-11 02:34:54,0,0,军事迷！电脑迷！运动迷！电影迷！最主要的我还是个万人迷！！！！！！！！！！！！,黑龙江,否,https://i1.hdslb.com/bfs/face/b07d8a2c901395caf62dd62a6ddefd583d68fdff.jpg
38,0,246820237632,一级评论,37514730,陌上花洛,5,保密,这是ai写的吗？有点脑子好不好,2024-11-11 01:08:54,0,0,诗酒趁年华,江苏,否,https://i0.hdslb.com/bfs/face/76284bc56623c80b667b59030409e21e283f493a.jpg
39,0,246816899632,一级评论,1640507929,bili_99384923707,5,保密,今天猪肉价后腿 10 元，排骨 15，地点北京，2024.11.11,2024-11-10 23:38:50,0,0,,北京,否,https://i1.hdslb.com/bfs/face/0af8b7ecbf95fc3690f6fff97d974e8010ac170d.jpg
40,0,246813446032,一级评论,44103839,格拉默铁骑军团长,6,保密,一路和第三世界不送产能出去等着产能过剩经济危机吧，国内消费不了这么多,2024-11-10 19:40:56,0,0,要战便战 ,江西,是,https://i2.hdslb.com/bfs/face/af5e620a9b7289d1ce5bd8ac9b379f2a677ebc2b.webp
41,0,246809238272,一级评论,330248620,扑翼飞行,5,保密,后面那一句话，其实大家都误解了。涨工资这个问题，其实大家是反过来听的就对了，我们现在的经济是什么样子，不用说了，贸易战以来下跌了很多，经济增长已经又没有上涨。长那一丢丢，还不如跌下来的多，19年之前都没有涨，25年或者26年能涨，经济能比19年前的好吗？所以要反过来听，,2024-11-10 17:16:10,0,0,,海南,否,https://i1.hdslb.com/bfs/face/60d66d90a6f5a9b15a7c58463f723e7e9aa7e02c.jpg
42,0,246808186944,一级评论,629859735,正式会员Vip,4,保密,建筑行业，我们公司要裁员了。还等得到公司工资上涨吗？,2024-11-10 16:56:29,0,1,,湖南,否,https://i0.hdslb.com/bfs/face/6e7ee177b5cc681b9609c07f8d5eb574b52d409c.jpg
43,0,246788787472,一级评论,399130144,红米亡命天涯,5,保密,up主脑子烧坏了涨工资。。。但不管怎么说，未来四年国内应该形势不会太好，得努力抓住机遇了,2024-11-10 12:54:10,1,2,战斗，让我忘记疯狂,澳大利亚,否,https://i1.hdslb.com/bfs/face/19df724aea18e0cf7fa3ba4393a93ef62edbb33a.jpg
44,246788787472,246809630256,二级评论,330248620,扑翼飞行,5,保密,后面那一句话，其实大家都误解了。涨工资这个问题，其实大家是反过来听的就对了，我们现在的经济是什么样子，不用说了，贸易战以来下跌了很多，经济增长已经又没有上涨。长那一丢丢，还不如跌下来的多，19年之前都没有涨，25年或者26年能涨，经济能比19年前的好吗？所以要反过来听，,2024-11-10 17:25:10,0,0,,海南,否,https://i1.hdslb.com/bfs/face/60d66d90a6f5a9b15a7c58463f723e7e9aa7e02c.jpg
45,0,246479448561,一级评论,265683080,tjtcjcq,3,保密,别扯了，特朗普上来只会干的更猛,2024-11-10 12:05:18,0,0,,天津,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
46,0,246785059024,一级评论,289853830,一串肥牛,6,保密,天龙人是不会同意涨牛马工资的,2024-11-10 12:05:12,0,0,孤独的路亚菜鸟,广西,否,https://i1.hdslb.com/bfs/face/78f279cffa97bfa4301988f6b23e7c8c419b47d8.jpg
47,0,246477708913,一级评论,21288095,奢侈の晚餐,6,保密,胤礽二进宫，一定会像疯狗一样做出很多倒行逆施的事，再加上皿煮党掣肘，这条疯狗会怎么样，我们拭目以待。,2024-11-10 11:43:15,0,0,,内蒙古,否,http://i2.hdslb.com/bfs/face/43619d969b2527854562190af0562cf59ca6c46a.jpg
48,0,246471349585,一级评论,386329856,zqabcdef,4,保密,不是二十年前了，现在家家干净，全是房贷，哪有钱刺激消费？,2024-11-10 10:23:13,0,0,,上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
49,0,246468069361,一级评论,3493117722364555,愤怒的蚊子7,2,保密,长什么工资，你成都买的房子亏哭没有，还是说假话,2024-11-10 09:41:33,0,1,,四川,否,https://i1.hdslb.com/bfs/face/9edc6a537656048a304accd55a1b104fde55bf79.jpg
50,0,246772897584,一级评论,493208042,云端的John,6,男,没关系，拜登来了也一样打击,2024-11-10 09:38:21,0,1,,新西兰,是,http://i2.hdslb.com/bfs/face/61f8871864e242d2fa836c05da66adb224619989.jpg
51,0,246772143920,一级评论,272513140,xqzp2000,6,保密,如果能控制住房价，工资上涨是可以操作的。,2024-11-10 09:28:55,0,0,,江苏,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
52,0,246463074849,一级评论,1457847973,啥也不会的3C-0125,5,男,@AI视频小助理 总结一下,2024-11-10 08:33:16,0,0,HXD3C-0125转配合段了呜呜呜呜呜,江苏,否,https://i1.hdslb.com/bfs/face/cdff637cdbe8cb77f0c8fd7e7811e50d75d86270.jpg
53,0,246456488497,一级评论,25519070,wwtnsdyhhh5pfn哈,6,男,没有买家还想涨工资，川普上台失业率上涨还差不多。,2024-11-10 06:54:41,0,1,,广东,否,http://i2.hdslb.com/bfs/face/0093a232d3cebe6424672adad04ba6f0cfbc2913.jpg
54,0,246756168688,一级评论,449333549,高冷的小迦,6,保密,川宝可能会被暗杀，上任前，或者任内,2024-11-10 05:46:44,0,0,转为工作模式了，以后更新随缘！金子加油！大家可以去看别的up,河南,是,https://i2.hdslb.com/bfs/face/70e3c596043015caddbd87e2f5551acb1f1c67c9.jpg
55,0,246444319313,一级评论,518904368,檆幹无痕,5,保密,感觉未来十几年都不会有民主党啥事了，如果民主党不出那种英雄人物的话。。。。。,2024-11-10 04:17:11,0,0,,江西,否,http://i2.hdslb.com/bfs/face/207aa5b9c4bf9306462ee8cbc6eb3be0d044c3b6.jpg
56,0,246746436192,一级评论,48219539,张开你的嘴我喂你,4,男,外网看多了吧[捂脸],2024-11-10 03:54:18,0,1,,云南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
57,0,246746126768,一级评论,383413642,上帝引渡人,5,保密,"工資漲了, 但直接不發了",2024-11-10 03:50:49,0,2,對搬運者引渡上路,中国香港,否,https://i1.hdslb.com/bfs/face/c2502ad179c4d2b76018f4e5820effe34218afc5.jpg
58,0,246425792449,一级评论,1423397490,进出平和,5,保密,加大消费？削的是我，废的也是我。还消费...[笑哭],2024-11-09 21:45:26,0,0,,辽宁,否,https://i0.hdslb.com/bfs/face/28ee19f240fc8c5467d21e0da279795426a34b28.jpg
59,0,246726558848,一级评论,1871524202,蜜汁会员,4,保密,都挺扯淡的，最后那个工资上涨，好像现在国家不注重国内消费一样。除非你拿枪顶着人去消费，大部分人就是存钱以应对危机,2024-11-09 19:29:19,0,0,,美国,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
60,0,246415570689,一级评论,400355364,坚毅行者,6,男,老卢希望最后你说的是真的！！！[星星眼][星星眼][星星眼],2024-11-09 16:22:46,3,0,心情不好，没啥说的！,四川,是,http://i0.hdslb.com/bfs/face/f9298073121428e14c9094a393455a83df1ae7bc.jpg
61,246415570689,246426949249,二级评论,696101382,筑梦银河丷,5,保密,幼稚，看看朝鲜不出口的结果，再看看沙特，美国也是靠卖别人武器起来的……老卢这期是智力测试视频……,2024-11-09 23:04:22,0,2,,浙江,否,https://i0.hdslb.com/bfs/face/671ea89bb011b9365b6d45dc69f96d88b73b8da3.jpg
62,246415570689,247056108896,二级评论,449107310,派蒙爱炸鱼,5,女,他没预测成功过几个,2024-11-13 21:46:21,0,0,在提瓦特大陆的第521天，和永雏塔菲炸鱼。粉丝牌比我低的不配说我唐。我雏草姬15级，谁比我多？,吉林,否,https://i2.hdslb.com/bfs/face/811a91d24cf7fa746f02c9fa3e52b490706031ad.jpg
63,247056108896,246810254625,二级评论,400355364,坚毅行者,6,男,回复 @派蒙爱炸鱼 :唉，美好的愿望~~~~~,2024-11-14 16:26:05,0,0,心情不好，没啥说的！,四川,是,http://i0.hdslb.com/bfs/face/f9298073121428e14c9094a393455a83df1ae7bc.jpg
64,0,246714856848,一级评论,499817634,牧歌少年KH,4,男,特朗普2.0，没这么筒单他身边这么多人才，又三权合一了，打经济战的法子更巧了才是。,2024-11-09 15:39:26,0,0,,江西,是,https://i0.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg
65,0,246713074272,一级评论,31712704,凉快へ,6,男,新视频我看完了，但看的是啥我忘了[笑哭],2024-11-09 15:18:59,0,0,言葉や文化は違っても、人間の中核の部分で共通するものがある,陕西,是,https://i1.hdslb.com/bfs/face/4aee5e7d7cc24ee6481a0884f7e3133c7bf49f11.jpg
66,0,246712117712,一级评论,8231241,板砖一大堆,6,保密,新视频看到一半刷新一下就没了[笑哭],2024-11-09 15:08:14,1,1,,广东,否,http://i0.hdslb.com/bfs/face/f5152f791a45ca6cdee922ce044799002e82c61b.jpg
67,246712117712,246411283633,二级评论,442493077,元英又说谎,5,保密,靠，来晚了,2024-11-09 15:27:10,0,0,WOW？,广东,是,https://i1.hdslb.com/bfs/face/5389496c2964e54c1f70267521348dea5f18488e.jpg
68,0,246409364625,一级评论,696101382,筑梦银河丷,5,保密,求存档……,2024-11-09 15:05:36,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/671ea89bb011b9365b6d45dc69f96d88b73b8da3.jpg
69,0,246409188545,一级评论,696101382,筑梦银河丷,5,保密,又删视频？,2024-11-09 15:05:00,1,1,,浙江,否,https://i0.hdslb.com/bfs/face/671ea89bb011b9365b6d45dc69f96d88b73b8da3.jpg
70,246409188545,246411130081,二级评论,442493077,元英又说谎,5,保密,靠，来晚了,2024-11-09 15:26:58,0,0,WOW？,广东,是,https://i1.hdslb.com/bfs/face/5389496c2964e54c1f70267521348dea5f18488e.jpg
71,0,246711629360,一级评论,52414822,食梦貘EX,6,保密,丸辣,2024-11-09 15:02:27,0,0,所谓命运，不过是沉睡的奴隶,贵州,是,https://i1.hdslb.com/bfs/face/9d78db32b7e1c46fea7f934597a40dac8f1ed457.jpg
72,0,246407416945,一级评论,4512959,4512959,6,男,不是 新视频去哪里了我还没看就没了？,2024-11-09 14:44:20,1,1,,广东,否,https://i2.hdslb.com/bfs/face/4d5fff8d0eafa2d3a65f03cfde5897ac0e5b7e67.jpg
73,246407416945,246710587424,二级评论,607825615,暴富使我快乐谢谢,5,保密,同问？,2024-11-09 14:51:10,0,0,,天津,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
74,0,246407273089,一级评论,241719783,劉xj,6,男,新视频呢？,2024-11-09 14:43:12,0,1,井底之蛙,天津,否,https://i0.hdslb.com/bfs/face/f18ef6d3530d023b6e097143dfe4c6b5838a4472.jpg
75,0,246406810689,一级评论,203344688,六B改名,6,保密,不是 新视频去哪里了我还没看就没了？,2024-11-09 14:36:18,0,0,,浙江,否,https://i2.hdslb.com/bfs/face/240da30364149d29be30b7e15c6da33ec48450b3.jpg
76,0,246406651201,一级评论,52502885,笑看浮生若梦-,5,保密,结尾 啥音乐,2024-11-09 14:34:48,0,0,"笑看浮生若梦,醉忆流年似水
                                                ——胡生",江西,否,https://i2.hdslb.com/bfs/face/c339ab5c3b8f90b27fe99d08587fa8343c27aeed.jpg
77,0,246406071265,一级评论,1635107355,芒芴-H,5,女,😅新视频呢,2024-11-09 14:29:52,0,2,天无为以之清，地无为以之宁,江苏,是,https://i0.hdslb.com/bfs/face/cd912a7a5513f3ae85a2fc96aac13a0c8fcce77e.jpg
78,0,246406088481,一级评论,21809464,菜月昴ナツキ・スバル,6,男,"TOGETHER, WE WILL MAKE AMERICA GREAT AGAIN!🇺🇸🇺🇸🇺🇸",2024-11-09 14:28:03,0,0,四月是你的謊言！,四川,是,https://i1.hdslb.com/bfs/face/884b37454fa23409f785c41a0099b73a6e9457dc.jpg
79,0,246404573185,一级评论,92999793,渔阳太守,5,男,这个文案 作者比卢克文自己写的差太多了,2024-11-09 14:11:01,0,0,注：修改一次昵称需要消耗6个硬币 靠。。。,北京,是,https://i0.hdslb.com/bfs/face/343daadaa44d884e54e783fe409da4f574fd13f6.jpg
80,0,246402779681,一级评论,27452963,寂寞的鸵鸟6,5,男,看来汽车价格战还会继续下去,2024-11-09 13:50:49,0,0,钢笔爱好者,内蒙古,否,https://i2.hdslb.com/bfs/face/6da08fb809f33b3a80295625ca77ffc9ff82e055.jpg
81,0,246396323937,一级评论,3493082735577769,小空克,3,保密,讲得不好。是江郎才尽了，还是怕碰雷，不敢讲。,2024-11-09 12:32:07,0,0,,上海,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
82,0,246697654336,一级评论,20558507,404之404,6,保密,如果工资不涨，他就在造谣，抓起来,2024-11-09 12:25:32,0,0,,广东,否,https://i2.hdslb.com/bfs/face/686d32072d32aeb4d9fa8af5c1a119bad847155c.jpg
83,0,246394410737,一级评论,184650752,lllop22233,5,保密,怎么说呢，比拜登好点,2024-11-09 12:08:25,0,0,,澳大利亚,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
84,0,246695178000,一级评论,45570518,祥陈陈,6,男,孩子上学问题解决了吗，特朗普上台对孩子就学有影响不,2024-11-09 11:56:17,0,1,,重庆,否,https://i2.hdslb.com/bfs/face/92e354364a118e4488966e47adc33f73f8b1d33c.jpg
85,0,246694658640,一级评论,1143073932,云海中天,3,保密,遣反的华人，我们不收,2024-11-09 11:49:20,0,0,,辽宁,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
86,0,246390601217,一级评论,452044673,壁垒山丘,5,男,在深圳打螺丝的时候在外面租房住，然后房东每年要涨一次房租。我说你这房租年年涨，我扛不住了，房东说你们工资不也年年涨么，那我肯定要涨房租啊！,2024-11-09 11:25:07,0,0,英雄无敌3玩家，擅长HOTA、全兵对战。近期沉迷网页版无法自拔...,广东,否,https://i2.hdslb.com/bfs/face/70ea6034dea9af17f93e9bf39d8fe19e45255c86.jpg
87,0,246390000145,一级评论,452044673,壁垒山丘,5,男,全国人民的工资上涨？表示怀疑,2024-11-09 11:16:31,0,0,英雄无敌3玩家，擅长HOTA、全兵对战。近期沉迷网页版无法自拔...,广东,否,https://i2.hdslb.com/bfs/face/70ea6034dea9af17f93e9bf39d8fe19e45255c86.jpg
88,0,246383922449,一级评论,21240354,丶哦嗨哟,5,男,都发钱等于没发，都涨工资等于没长，都涨价等于没涨，都结婚等于没结，都生娃等于没生，都……,2024-11-09 10:04:14,0,0,,江西,否,http://i0.hdslb.com/bfs/face/e4102564af021ae278becbb10550a266bb2ad3f4.jpg
89,0,246382538641,一级评论,3461567259610062,天空中不亮的星,5,男,经典大殖子一个人刷一堆“做梦”[doge_金箍]举了一个整个弹幕都清净了,2024-11-09 09:46:46,0,1,这个人很懒，不想留东西,天津,否,https://i0.hdslb.com/bfs/face/4418587b78713815215a49b4fb824aaafbd7a800.jpg
90,0,246679593392,一级评论,348704237,compar_hong,5,保密,用老眼光看特朗普是错误的，所谓士别三日当刮目相看， 有了上次的失败和四年的运筹， 这次特朗普不会再胡乱施政,2024-11-09 08:51:22,0,1,,福建,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
91,0,246377984497,一级评论,490533055,每天转磨的驴,5,保密,有没有一种可能被遇刺啊,2024-11-09 08:44:56,0,0,,河北,否,http://i1.hdslb.com/bfs/face/4bea0f3592044a31c6ce1658dfe0155046826952.jpg
92,0,246676163440,一级评论,494864629,力力点点,5,男,是312票7个摇摆州大胜谢谢,2024-11-09 08:00:14,0,0,,福建,是,http://i1.hdslb.com/bfs/face/fd8bcd8da781897c45d7fab8766c1a92c981f832.jpg
93,0,246674784384,一级评论,1029328303,脑力消耗太大,4,保密,对美出口早就没了。还现在，现在个鸡毛。对欧也没了，也就中东还有一点。东南亚几年前炒的火热，也就那样。,2024-11-09 07:41:30,0,0,,安徽,是,https://i1.hdslb.com/bfs/face/e2f98c2dc1984efbd47e263236121020d176b971.jpg
94,0,246672759568,一级评论,17003,TMA动漫同人社,6,男,川普能倒逼中国增加国民收入用于提振消费，还好美国不支持海外邮寄投票[滑稽],2024-11-09 07:10:04,0,0,,广东,是,http://i2.hdslb.com/bfs/face/78f023bab8ab7f030b87e5592d98e97c963f852e.jpg
95,0,246371654705,一级评论,44760579,目醒设计,5,男,借UP吉言,2024-11-09 07:08:28,0,0,你说有没有可能，我想去哪里，就可以瞬间出现在那里？？？,湖北,否,https://i0.hdslb.com/bfs/face/5c1b9db9823d392cd718fe2558a0c68ff936ae17.jpg
96,0,246371573633,一级评论,116607254,yk燕小蝌,5,女,作为一个资本家，他会为美国的企业不择手段。世界其他个股的企业都要小心了。特朗普是一个不讲规则的,2024-11-09 07:07:34,0,0,,安徽,否,http://i2.hdslb.com/bfs/face/12ed4b7ba431179f6f3b4c2893c85b6b8e350033.jpg
97,0,246368895665,一级评论,40776256,狂气の际,6,男,先把姜萍的事情说说吧,2024-11-09 06:23:45,1,2,,天津,是,http://i1.hdslb.com/bfs/face/e7e6c438b011436e3b7d447f4a3372a054cc303e.jpg
98,246368895665,246744157408,二级评论,651842628,原来是懂王啊-厉害了,5,保密,对不起你了，离开吧,2024-11-10 03:27:29,0,1,,北京,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
99,0,246368767665,一级评论,3493116015282669,行者陈晓春,5,保密,美国出了一个特朗普，结果中国冒出来10万个特朗普，人世间的喜剧。,2024-11-09 06:22:02,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/2bc878c74d487ac0b067ead7c141f5f4977edb5c.jpg
100,0,246669135792,一级评论,396617422,dr_fluttershy_01,6,保密,反正上次这个比一上任我家里就有人失业了,2024-11-09 06:13:14,0,1,这是什么地方,天津,否,https://i1.hdslb.com/bfs/face/70cd32ef5b6710b8b42a730da6d56212af722273.webp
101,0,246367134305,一级评论,690449770,不失为一种幽默-,5,保密,整个国际上谁都跑不了，不是哪个政客上台就能改变什么的，不是想听就能停的，目光短浅，拉黑了,2024-11-09 05:56:42,0,0,,云南,否,https://i1.hdslb.com/bfs/face/53e696221e9e7a1044209a8efd1d1ba80f4f0408.jpg
