序号,上级评论ID,评论ID,评论属性,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
11,0,253535312032,一级评论,90846686,笑死换小号了不充,4,保密,那为什么2020还要抢着做？[doge]早点给川就没事,2025-01-26 10:39:11,1,1,不互关了，换小号,广东,否,https://i2.hdslb.com/bfs/face/0c48164d7b1fc5822f5c49f9347efbb28a89a5ea.jpg
12,253535312032,253556403776,二级评论,1999917931,装逼没得前途,5,保密,嗯，我个人认为是因为那个时候民主党希望他当下去吧，可能是因为那个时候那些民主党的八大天王认为，支持拜登去当选美国总统，更符合他们的利益,2025-01-26 14:18:06,0,0,,山东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,252431758801,一级评论,38109787,轻妍丶,6,女,对手的成功固然令人惋惜，但烦人精同事的失败更让我快乐[笑哭],2025-01-21 12:34:27,0,12,,重庆,是,https://i1.hdslb.com/bfs/face/ba1e40ead031dce74d553599a30c12aba12e4018.jpg
14,0,252902927024,一级评论,3546743782246622,cdjnd7,3,保密,人住白宫，身不由己,2025-01-20 06:17:05,0,4,,湖北,否,https://i2.hdslb.com/bfs/face/2a36327c673249fd69a4cb2808a645c549642032.jpg
15,0,252886706672,一级评论,582012437,麋鹿xiKa,5,男,白宫医生：黑子说话！,2025-01-20 03:08:55,0,7,q/v1094138803,辽宁,是,https://i2.hdslb.com/bfs/face/3178afa53b57b626cdabfe9a828f21f85c9c876a.jpg
16,0,251905532241,一级评论,1032098152,孤夜一世,4,女,old help old，还有拜登前阵子签那个赦免令，然后把他儿子赦免了,2025-01-15 14:58:05,0,5,黑白,湖北,否,https://i1.hdslb.com/bfs/face/fc7bd80f2bbaca32d29ff8bd779b585528a69134.jpg
17,0,252162143760,一级评论,3546625083443305,泡泡翻新12345678,3,保密,其实我觉得拜登真好。。,2025-01-12 03:51:22,0,3,"小熊从来不          嫌弃            自己   哼
                               炸弹。",湖南,否,https://i1.hdslb.com/bfs/face/2354dc43c4e652d02403fa76f5e91cd1cf904568.jpg
18,0,251253779377,一级评论,3494360526096888,鱼和熊掌全都要,5,男,人类群星闪耀时,2025-01-07 22:50:53,0,0,,河南,是,https://i0.hdslb.com/bfs/face/12d9a210a93e35ad2d9e72f707c2665f76fed795.jpg
19,0,251598560080,一级评论,611973418,超级小猫仙,5,保密,原以为是美稀宗，现在看其实美戏宗。,2025-01-05 13:05:08,0,10,,辽宁,是,http://i1.hdslb.com/bfs/face/c987512c4ddf87ea058ad045d59e8f00e80fc7f0.jpg
20,0,250933814033,一级评论,16985578,ChristinCao,6,保密,这几个民主党所谓大佬里面，就奥巴马是个纯fw,2025-01-04 03:37:51,1,9,May God be with us,河南,是,https://i1.hdslb.com/bfs/face/ce0ffe2360973089c944d2263d4d6086cfdd2360.jpg
21,250933814033,253556369488,二级评论,1999917931,装逼没得前途,5,保密,我刚想说一句，为什么没有哈里斯，结果一想，差点忘了这里面哈里斯都不算[笑哭],2025-01-26 14:18:46,0,0,,山东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
22,0,251445935504,一级评论,37647449,稀有的handsome,5,保密,风评变得很快，很久之前我说拜登是经历冷战历练的政治老手，不可低估。b友们疯狂拿拉稀摔跤说事，给我扣美分帽子，现在又都说拜登水深了是吧，真的抽象。,2025-01-03 20:46:59,5,19,,陕西,是,http://i2.hdslb.com/bfs/face/ea6eae2c722a57078b5daf0cfc532d87d354849e.jpg
23,251445935504,252399940384,二级评论,416503525,用户416503525,6,男,人之将死其言也善罢了，电视辩论没稿子，这个是提前有稿子的，当然有精神了。,2025-01-14 15:52:22,0,3,风雨无寒,重庆,否,https://i1.hdslb.com/bfs/face/d21166d5589fa958cc034a18febede59f2f77811.jpg
24,251445935504,252622854289,二级评论,279329356,-_-咸鱼XY-_-,5,保密,B站一直都这样的，拜登上台了吹川普，川普上台了吹拜登,2025-01-23 10:20:00,0,7,,上海,是,https://i1.hdslb.com/bfs/face/add71dd7f2dfb39b8b127dc2c9229df2d05d1675.jpg
25,252622854289,253556312768,二级评论,1999917931,装逼没得前途,5,保密,回复 @-_-咸鱼XY-_- :我就是个看乐子的，但是吧，这一次是真的被拜登给骗到了[笑哭],2025-01-26 14:19:23,0,2,,山东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
26,251445935504,255691844448,二级评论,109221813,凌云宠物蛇,6,男,一样，特朗普第一次当总统的时候，全网都是喷他。我说特朗普其实很牛逼，被喷了很久。,2025-02-17 21:42:13,0,2,买蛇交流私信，加好友备注来意，收蛇蛇，绿泡泡:tzdehaka,江苏,否,https://i0.hdslb.com/bfs/face/69132c7aef25c5f2d6f4c6b6848ccc83495f8fa7.jpg
27,251445935504,260375943713,二级评论,26304963,昊天金闋至尊蒼穹上帝,6,保密,小孩很多，反正我只看,2025-04-25 23:36:18,0,0,煮不在乎,山东,是,https://i0.hdslb.com/bfs/face/74091e9c4fa7d01b10f97481489f788a0c831190.jpg
28,0,251378672368,一级评论,1882837109,゚Arlecchino,4,女,"“再见，普，希望你喜欢这几十年来属于你的戏份……”
“欺瞒世界……真是狡猾啊……登”",2025-01-03 04:06:57,0,5,,江苏,否,https://i2.hdslb.com/bfs/face/55df075cf6d86e6a46c210ba8a4d4f361b9f7fcc.jpg
29,0,251009030096,一级评论,225516631,清玖鸣潮代肝,6,男,新冠也好了[喜极而泣],2024-12-29 20:03:25,0,2,接鸣潮代肝/代练，v:Sgr_Novfbw  q：3582650388,湖北,否,https://i1.hdslb.com/bfs/face/82e068a2e3041896a9b6f99534defe1fb60e2cfb.webp
30,0,250324341216,一级评论,30477404,富强文明公正,6,男,大美王朝2024,2024-12-21 16:17:31,0,2,,河南,否,https://i2.hdslb.com/bfs/face/9e7cf697ee55919d9a77a27c496bf03a11dcfa1c.jpg
31,0,249698637761,一级评论,151168785,書太白子,6,保密,视频没了,2024-12-20 02:07:43,0,0,ⓥ该账号封禁中,广东,是,http://i0.hdslb.com/bfs/face/64be6879d3705989650b68fd5c6becdf98319e24.jpg
32,0,250018503136,一级评论,1306002434,棠璃星瑜,3,女,什么叫不知道以为他是民主党的   登子本来就是民主党人,2024-12-18 08:29:58,1,0,突击更新,上海,否,https://i2.hdslb.com/bfs/face/64625c8c4992db5dc4ad8a91c12954b00818eafe.jpg
33,250018503136,250066265120,二级评论,28722194,日下秋也,6,保密,“不知道的还以为特朗普是民主党的”,2024-12-18 19:25:27,0,1,非日本史专业的历史学博士生，写论文和做视频一样鸽的UP主。,日本,是,https://i2.hdslb.com/bfs/face/45d9788614e1e18124c3a1a944dae1e885c298d9.jpg
34,0,250018474928,一级评论,1306002434,棠璃星瑜,3,女,拜登摔那么多次，没一次是下楼梯摔的，都是上楼梯拍到的摔。。。[捂脸],2024-12-18 08:29:40,0,1,突击更新,上海,否,https://i2.hdslb.com/bfs/face/64625c8c4992db5dc4ad8a91c12954b00818eafe.jpg
35,0,250018493488,一级评论,1306002434,棠璃星瑜,3,女,[笑哭]拜登之前都是装的？那也装得太像了。,2024-12-18 08:29:32,0,0,突击更新,上海,否,https://i2.hdslb.com/bfs/face/64625c8c4992db5dc4ad8a91c12954b00818eafe.jpg
36,0,250018387952,一级评论,1306002434,棠璃星瑜,3,女,"第一，我没输
第二，我安全退休了
第三，我儿子保住了
我不笑，谁笑？",2024-12-18 08:29:25,0,0,突击更新,上海,否,https://i2.hdslb.com/bfs/face/64625c8c4992db5dc4ad8a91c12954b00818eafe.jpg
37,0,250018488960,一级评论,1306002434,棠璃星瑜,3,女,笑死了，安度晚年，儿子没事，家族保全，哈里斯接了所有的锅把自己政治声誉保住了，然后背叛自己的都会被特朗普清算，拜登这波也赢麻了,2024-12-18 08:29:19,0,4,突击更新,上海,否,https://i2.hdslb.com/bfs/face/64625c8c4992db5dc4ad8a91c12954b00818eafe.jpg
38,0,250009182752,一级评论,457517614,萧关NPC,4,女,川皇上台的第一件事情是肃反吧  然后才有机会搞其他的 民主裆还会给他在经济上下绊子的,2024-12-18 06:04:36,0,0,,上海,是,https://i1.hdslb.com/bfs/face/b8f6b14f62a7b8fb25b1ffe6eb55225100b6c9ff.jpg
39,0,250007235328,一级评论,3546556831631806,骑士维拉斯克斯,4,保密,基辛格驾鹤之后，他成了最后的冷战遗珠,2024-12-18 05:34:46,0,0,,黑龙江,否,https://i1.hdslb.com/bfs/face/33331a09d03cef113dcdfabdf9ecf1bfc7f4affe.jpg
40,0,249910643312,一级评论,495080792,风韵清荷,6,保密,所以特离谱胜了，资本大佬都遭殃了，比尔盖茨跑了,2024-12-17 03:25:19,0,0,OK~ You are my love ！,四川,否,https://i2.hdslb.com/bfs/face/0dbe5dd879b67b530abab0d13e92d2f9c2d593a1.jpg
41,0,248988105121,一级评论,17555295,゚炉岩碳,6,保密,打个不太恰当的比方，拜登好比是中象里的一枚走到底线的老卒，突然后退将了自家老将一军，然后掀翻棋盘全身而退。,2024-12-11 11:30:06,0,1,这个人帅死了，什么都没写。,陕西,否,https://i0.hdslb.com/bfs/face/887ffdcc769dc88a6cfc1309f6c819b81da02f25.jpg
42,0,249409228128,一级评论,1474843500,515325愿,5,保密,000,2024-12-11 09:50:56,0,0,,河北,否,https://i0.hdslb.com/bfs/face/7b263efa9c1bc5f874a8d650a6b04b4c85834cab.jpg
43,0,249408941056,一级评论,1474843500,515325愿,5,保密,00,2024-12-11 09:48:21,0,0,,河北,否,https://i0.hdslb.com/bfs/face/7b263efa9c1bc5f874a8d650a6b04b4c85834cab.jpg
44,0,248706532177,一级评论,320728488,察里津加盟共和国,6,保密,但凡真的看过辩论的都会知道拜登总体思维很好，川普是啥都扯到他的三板斧，而视频只截口吃的片段，错误引导。,2024-12-08 02:07:27,0,2,没什么文化，也没什么素质 即时战略qq群：469853762 英雄连3开黑群：728427686 战争之人2连长开黑群：694408796,湖北,是,https://i0.hdslb.com/bfs/face/a89e650e35f6d4f971ccc917f862ce11b9f16382.jpg
45,0,248511922433,一级评论,439617895,liangqi4321,4,保密,软着陆啊，这把岁数也没啥好执着的了，犯不上了，美国这样子，没罗斯福的背景和本事，魄力，谁也没辙，拜登也不例外。,2024-12-05 14:26:20,0,0,,吉林,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
46,0,248891753248,一级评论,1604533523,_难知如阴_,6,保密,拜登：我是旧时代的残党，自有不一样的退场。,2024-12-05 08:37:51,0,0,时来天地皆同力，运去英雄不自由,北京,否,https://i2.hdslb.com/bfs/face/74434d938ff895c90c0b3ba64b566cc93659ea70.jpg
47,0,248834928592,一级评论,392735749,贞元Eric,5,保密,"第一，如果一声不响退了那是逃兵，美国人不喜欢逃兵，但我咬死了不退，最后不情不愿发声明表示倾尽全力无法战胜，他这是不是在帮懂王你自己想
第二，奥巴马想推米歇尔，希婆要推自己亲属，这俩人本来就有分歧，然而拜登紧接着甩了个哈哈哈里斯出来，懂王嘴瓢来一句XX岛的人都是垃圾，他一个总统甚至直接下场说你懂王的支持者才是垃圾，第二天懂王就开垃圾车与劳动人民同在了，这是不是帮懂王解了围你再想想
第三，美国史上最年轻的议员，没有深层政府爬到了总统的位置，冷战时代的政客，一个政客说他腿脚不行，专业医生担保他和正常人一模一样……你再想想
登：有我在起码不会三权全输，但你们不想玩是吧，那就都别玩了",2024-12-04 13:49:50,0,1,,黑龙江,是,https://i1.hdslb.com/bfs/face/fd27b3464deefba0a0f8d330aab7fe3e7a4ca018.jpg
48,0,248408851121,一级评论,6015763,-是蔷蔷啊-,5,女,有句话咋说的来着，世界上最好的演员就是政客。[妙啊],2024-12-04 09:26:59,0,1,ᴊᴏᴜʀɴᴀʟ    &     ʟɪғᴇ,甘肃,否,http://i1.hdslb.com/bfs/face/264c161b804f89b2cdeaf89c2e729599da50a6e4.jpg
49,0,248805756048,一级评论,3546653843786022,基建狂魔哥,3,保密,最新啊，拜登跟俩特朗普一起吃了个饭，这事儿可够意思的！,2024-12-04 07:43:57,0,0,,美国,否,https://i0.hdslb.com/bfs/face/0a2883686f3b171844677e4eeb6ef1003f8e3742.jpg
50,0,248736181104,一级评论,8335839,流浪的观测者,6,保密,拜登：不装了我摊牌了[doge],2024-12-03 11:09:02,0,0,我来到，我见证，我记录。,海南,否,https://i0.hdslb.com/bfs/face/6845b7bc2f0bc02d280a63d65fcb3f9e10091d06.jpg
51,0,248283240241,一级评论,1170253450,苛芍芬,5,保密,想想也是，在政治界摸爬滚打50年，怎么可能真傻？[笑哭],2024-12-02 15:26:51,0,0,,广东,否,https://i1.hdslb.com/bfs/face/9c009686e513d32140377eef26f095bfff4d9ce1.jpg
52,0,248629909360,一级评论,325272202,阿伟健在,6,男,真的厉害，傀儡反杀控制者抬了对手一把，不知道有生之年能不能看见电影[辣眼睛],2024-12-02 07:55:50,0,1,打游戏主打一个开心✧٩(ˊωˋ*)و✧,河北,否,https://i1.hdslb.com/bfs/face/dc4b158cbfaa922dc57dede473bc88eaf81d2f04.jpg
53,0,248618503488,一级评论,399224227,一笑奈何yxnl,4,保密,"笑他笑了四年，等看到他演说前的那个笑容才发现，坏了，真让他赢了
现在的拜登:平稳落地，和川普扭转了敌对关系，赦免了自己最后一个儿子，安度晚年大概率善终，而当时逼他退选的民主党人大概率会被川普清算
牢拜拉过，睡过，被架空过，但从来没菜过。这个最年轻的议员和最老的总统，最后的冷战精英政客，果然城府绝不是普通人能猜透的。",2024-12-02 04:53:12,0,2,,天津,否,https://i1.hdslb.com/bfs/face/edf8624c67d187d684b731bdcca582f00084c260.jpg
54,0,248600487504,一级评论,3546607064714141,欧珀琉璃心,3,保密,拜登和川普关系现在可老好了 拜登替川普挡了好几次灾还把自己的保安团给了川普 他俩见面的时候川普一直在说谢谢你[笑哭],2024-12-01 23:53:17,0,1,泥嚎呀,河北,否,https://i2.hdslb.com/bfs/face/5c35712e149aeea1f8a16bb2d04c789d0c178543.jpg
55,0,248521312368,一级评论,3546625039403141,星神之力,4,男,赶紧退了吧，说不准以后还会有人说你贤。疫情疫情没处理好，中美关系进一步恶化！美俄关系也从原来的不冷不热变成了现在的基本敌对。,2024-12-01 02:52:10,0,2,盛在仙舟,河南,否,https://i2.hdslb.com/bfs/face/f3c7f7b508893c19b174f6cfd75e6fdd1b84837e.jpg
56,0,248519709504,一级评论,19391944,花雕醉红楼,6,保密,那可子弹真的就像萨拉热窝，小人物搅动了全世界,2024-12-01 02:32:42,0,1,,山东,否,https://i1.hdslb.com/bfs/face/98bfdf540943e7fc21bfd58fddf681477c30f971.jpg
57,0,248116095169,一级评论,619671192,kd_123,5,男,常看常新,2024-11-30 15:22:38,1,2,人生若只如初见，何事秋风悲画扇。,河北,否,https://i0.hdslb.com/bfs/face/04a9cd6096a247ca33d72854e96ef046494460b7.jpg
58,248116095169,248134015169,二级评论,348921661,庸の海盗G,6,保密,温故而知新了属于是[doge],2024-11-30 23:57:39,0,2,,上海,否,https://i1.hdslb.com/bfs/face/f4bc87bfc3c230292f6891832b5d872ec8cca49e.jpg
59,0,248093978481,一级评论,3461565569305071,赤い夢だ,4,保密,乔.拜登 :潜行 扰魔 休眠4回合 亡语:搅混民主党,2024-11-30 11:17:33,0,0,盡力保持思考,河南,否,https://i0.hdslb.com/bfs/face/9984b23de92a911d797704aa35f023b0de5ab3ae.jpg
60,0,248439111776,一级评论,3546576890890717,HgoatD,2,保密,你币有了,2024-11-30 04:55:01,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/9d60892602af8e0357f7009d79803c06bb33731f.jpg
61,0,247990955153,一级评论,2065963156,qaw丶丶,3,保密,白宫医生：黑子说话！！！[生气_金箍][生气_金箍][生气_金箍]4年你知道我是怎么过得么？早就说了他没病,2024-11-29 07:31:17,0,10,,北京,否,https://i1.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
62,0,248356508912,一级评论,434403019,n_n阿飞,5,保密,一个用普京塞牙缝的人，搞经济不行，搞人，那一定是绝顶高手。,2024-11-29 05:58:07,0,0,,四川,是,https://i1.hdslb.com/bfs/face/8efd20f795068df6a316101f70e5c8e461171f5d.jpg
63,0,248344349952,一级评论,618398128,噼里叭啦干杯,5,男,细思极恐…[蛆音娘_害怕],2024-11-29 03:18:19,0,1,我还是老实点比较好（不详的感觉）,吉林,否,https://i1.hdslb.com/bfs/face/3d8f700781b87a30167b335e22579b99b13b0ee0.jpg
64,0,247972922257,一级评论,397533999,华尔市hhh,5,保密,拜登总统梦已经实现了,2024-11-29 03:01:57,0,0,,江苏,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
65,0,247869308897,一级评论,640358889,某科学的あねさま,5,保密,哈哈姐背景正确是啥意思啊，这块没看懂,2024-11-27 15:16:41,1,1,,上海,否,https://i0.hdslb.com/bfs/face/28f648431e73cb802f2f6b680a6cfdddce0662f8.jpg
66,247869308897,248572182049,二级评论,1655977683,没有名字啊tgcg,5,男,是黑人同时有印度血统，老公还是犹太人,2024-12-06 10:18:17,0,0,账号封禁中,福建,是,https://i0.hdslb.com/bfs/face/e3d750243a15313681c496dd154a6b96ac108408.jpg
67,0,248214747472,一级评论,674533914,亿1个屁就,4,保密,old help old,2024-11-27 11:23:45,0,0,,广西,是,https://i0.hdslb.com/bfs/face/1dc13163c07bc8ff873b7497986d608f1f9bedba.jpg
68,0,248190183696,一级评论,348614947,大饼油条脆麻花,6,保密,那张刺杀的照片太猛了，肯定记录到世界历史，简直“自由领导人民”的现实版，可恶，给他赚到了。[笑哭],2024-11-27 05:37:27,0,3,,浙江,否,http://i1.hdslb.com/bfs/face/566d4c768f6c8b1e12a790984bdd02a969883a19.jpg
69,0,247784679233,一级评论,1764,暗之末裔,6,男,内容太多抄袭别的UP了,2024-11-26 14:27:44,0,0,,福建,是,http://i0.hdslb.com/bfs/face/1a28f3bdc5941e4526460a459e5b128b54f77db6.gif
70,0,248132457920,一级评论,2098057715,你有真家伙你说的都对,5,保密,谁赢谁输重要吗？不会认为一届总统就像改变世界吧，无非就是以前吃八菜一汤，现在七菜一汤，感觉没什么区别。我看到都笑了，完了，芭比Q了,2024-11-26 11:47:51,0,0,横看成岭侧成峰，远近高低各不同！,湖南,否,https://i2.hdslb.com/bfs/face/95aca9cbe67b08795847df958b1ec42d1b6a0d1a.jpg
71,0,248093938384,一级评论,3546709468645719,冷静的原体,3,男,正常啊，凳子为了大选，也是啥招都用了，暗杀都上了，也是很努力了！被自己人逼的退选，他也心有不甘，说就是因为他太老所以选票不赢，推上了哈哈姐！可哈哈也白搭！所以，凳子释然了，看到木有，并不是我拉稀导致的选票不赢。哈哈她不拉，也白搭！最后完美卸任，深藏功与名！,2024-11-26 02:49:45,0,3,人体速写交流群QQ 857718932 想学的私信,山东,否,https://i0.hdslb.com/bfs/face/5b3aa21d6e56ae46bb3330a423d45ec31065d4bd.jpg
72,0,248074041568,一级评论,1277542,福莱特斯卡,6,保密,所以阵营里小打小闹都没事，大佬互相动手就完蛋了,2024-11-25 16:26:30,0,1,暗月下的奇迹 我的奇迹,上海,否,https://i1.hdslb.com/bfs/face/9dbde3cc1b942fcd85bbbebf77ebd9be43e28e05.jpg
73,0,247700281153,一级评论,1980323072,哞哞胖牛,5,保密,"奧巴馬確實是幕後黑手，看他對哈哈哈的支持力度就知道。
他拖到最後，只不過既當又力罷了，
好處拿盡，又要博個支持拜登到最後的好名聲，而且他拖最後拿到好處也更多~",2024-11-25 13:09:08,0,1,,中国台湾,否,https://i2.hdslb.com/bfs/face/6e9a2133c7278a15db7a387e21d7441f2615726f.jpg
74,0,247684304113,一级评论,416458765,御坂家的皮卡丘,5,男,[怪我咯][怪我咯][怪我咯]老拜头真的演到我了,2024-11-25 09:49:19,0,3,你老是觉得我做很多事都半途而废，可是你不知道，喜欢你这件事情我真的坚持了很久。,广东,是,https://i1.hdslb.com/bfs/face/145bf6a51ee0f0e230781897946cb5f4dd5fa4e4.jpg
75,0,247676979009,一级评论,22290551,硅基唱诗班,6,保密,这类人最看重的就是历史评价,2024-11-25 07:51:30,0,1,知行合一，方为真知。,江苏,否,https://i2.hdslb.com/bfs/face/b991b88f584268a579cb75fa8705770eb6ad8ac9.jpg
76,0,248014383888,一级评论,671424320,alasw,5,保密,杨金水综合症,2024-11-25 03:12:18,0,2,,江苏,否,https://i2.hdslb.com/bfs/face/1c23933e99f2f661aa10bf2a5265a977f0a4d635.jpg
77,0,248005740416,一级评论,2026864218,命揺らせ_,5,男,他知道不论对手是谁，唐纳德都当不了第46届总统，所以他决定以身入局，让他当第47届的,2024-11-25 00:29:50,0,3,Gubba nub nub doo rahkah,吉林,是,https://i0.hdslb.com/bfs/face/c197de43a73b00168d286ed9068f846a2c054783.jpg
78,0,247643284017,一级评论,280052889,安妮婆婆,5,保密,拜登是美国最老的总统，也是最年轻的议员。而且政坛又不止总统，特朗普当选又能给他孩子开绿灯，也没当总统的压力了，能不开心么,2024-11-24 18:18:58,0,1,早安！每天晚上会不定期直播第五哦,内蒙古,否,https://i0.hdslb.com/bfs/face/6caf43e450b709f1f332983e0abe410b118c6037.jpg
79,0,247610902865,一级评论,3493127312640172,yfvjkg,4,男,是人家是要去走（装作有问题）引发了一系列事件之后才被决定退下去的。这其中应该是有什么人家所需要的利益。以结果来看，明显是达成了。,2024-11-24 10:53:11,0,1,,吉林,否,https://i1.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg
80,0,247608430145,一级评论,1676451278,不会做菜的咸鱼猫,5,保密,白宫医生:黑子说话[嗑瓜子],2024-11-24 10:24:10,0,3,,湖北,否,https://i2.hdslb.com/bfs/face/68a47a4174629e15880e0817efc8c993600ecf96.jpg
81,0,247588902609,一级评论,3537105936452175,还能说啥啥也没法说,5,男,原来美国媒体的谜语新闻是这么个玩意啊，阀头和政客相互讲悄悄话的媒介，和明朝倒过来的，他们真就是商本位，吹阵风连总统都能换,2024-11-24 05:53:11,0,1,,湖南,是,https://i0.hdslb.com/bfs/face/31625748f5e0b435c1318ebe84fc4e5df087b613.jpg
82,0,247583256529,一级评论,384891157,结果AK47火Q,6,男,逆天的转发:66666,2024-11-24 04:43:03,0,2,只要不放弃就一定有成功的希望,广东,否,http://i1.hdslb.com/bfs/face/05022c5e01a83b9554327ab67deab090e83d3e7a.jpg
83,0,247911076400,一级评论,3546385009871114,桂花载酒2,4,保密,突然想明白了白宫交接权力时直接暗杀掉特朗普，美国直接就内战了（我的意思是极端民主党暗杀），那时连拉扯的余地都没有，（先说好我没任何政治观点只是看热闹不嫌事大）,2024-11-23 18:36:35,0,0,,河南,是,https://i2.hdslb.com/bfs/face/53fd57e43d6190aa513e83730b1f92d91536c195.jpg
84,0,247888191552,一级评论,2051088620,uccherry,4,保密,白宫医生：黑子说话[生气]。我早就说过拜登一切正常,2024-11-23 13:29:22,0,4,,辽宁,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
85,0,247533593505,一级评论,1449574787,摆烂吧一一一少年,5,保密,吃相太难看，也确实让人心寒，而且这种做法极其不利于挡内团结。最后也自食恶果了。,2024-11-23 12:48:03,0,1,,广西,否,https://i2.hdslb.com/bfs/face/4b7f308162084accc3f4c9ae580b7f4cfc173c11.jpg
86,0,247521574049,一级评论,383318578,机械彩虹,6,男,拜登因为这个退选都挣麻了，一堆人给了好处欠他人情,2024-11-23 10:26:09,0,2,,江苏,是,http://i1.hdslb.com/bfs/face/19a403d321027320475e7065b0af70859d072fbf.jpg
87,0,247498403745,一级评论,3546645859928285,年糕の元,4,保密,我把白宫看成自宫了[笑哭],2024-11-23 05:07:28,0,1,"元歌























































想啥呢，没东西",福建,否,https://i2.hdslb.com/bfs/face/0502976b20bce302f9f1e5331ca43511f1ad8bd1.jpg
88,0,247832512560,一级评论,1172839211,光照不足所以白,4,男,拜登其实也值了，当了那么多年的政府高官，最后终于当上了总统，画了个政治生涯完美的句号。,2024-11-23 01:41:53,0,2,做自己喜欢的事儿,辽宁,否,https://i2.hdslb.com/bfs/face/2524c0dca68fa763e91712d702e380df506b9663.jpg
89,0,247475029617,一级评论,3493082037226058,我养的狗叫肖战周深,3,保密,一流的演员果然都从政了,2024-11-22 20:24:05,0,2,大事不办，小事大办,湖南,否,https://i2.hdslb.com/bfs/face/e709ba96ed3f4924432bbbcd4fdc4f7caa0dd78f.jpg
